,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HTML Reference
265,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech,/players/b/battito01.html
266,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke,/players/b/battish01.html
267,John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,/players/b/battljo01.html
268,Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois",/players/b/battlke01.html
269,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",Notre Dame,/players/b/battoda01.html
270,Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",Cincinnati,/players/b/battsll01.html
271,Nicolas Batum,2009,2023,F-G,6-8,230,"December 14, 1988",,/players/b/batumni01.html
272,Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple,/players/b/baumjo01.html
273,Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,/players/b/baumhfr01.html
274,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",Maryland,/players/b/baxtelo01.html
275,Jerryd Bayless,2009,2019,G,6-3,200,"August 20, 1988",Arizona,/players/b/bayleje01.html
276,Elgin Baylor,1959,1972,F,6-5,225,"September 16, 1934","College of Idaho, Seattle University",/players/b/bayloel01.html
277,Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",Tennessee,/players/b/bayneho01.html
278,Aron Baynes,2013,2021,C,6-10,260,"December 9, 1986",Washington State,/players/b/baynear01.html
279,Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",,/players/b/bazarse01.html
280,Kent Bazemore,2013,2022,G-F,6-4,195,"July 1, 1989",Old Dominion,/players/b/bazemke01.html
281,Darius Bazley,2020,2023,F,6-8,208,"June 12, 2000",,/players/b/bazleda01.html
282,Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia,/players/b/beached01.html
283,Bradley Beal,2013,2023,G,6-4,207,"June 28, 1993",Florida,/players/b/bealbr01.html
284,Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State,/players/b/beardal01.html
285,Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",Louisville,/players/b/beardbu01.html
286,Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",Kentucky,/players/b/beardra01.html
287,Charles Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",SMU,/players/b/beaslch01.html
288,Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota",/players/b/beaslje01.html
289,John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M,/players/b/beasljo01.html
290,Malik Beasley,2017,2023,G,6-4,187,"November 26, 1996",Florida State,/players/b/beaslma01.html
291,Michael Beasley,2009,2019,F,6-9,235,"January 9, 1989",Kansas State,/players/b/beaslmi01.html
292,Zelmo Beaty,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University,/players/b/beatyze01.html
293,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",,/players/b/beaubro01.html
294,MarJon Beauchamp,2023,2023,G,6-6,199,"October 12, 2000",Yakima Valley Community College,/players/b/beaucma01.html
295,Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945",Denver,/players/b/beckby01.html
296,Corey Beck,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, Arkansas",/players/b/beckco01.html
297,Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",Penn,/players/b/becker01.html
298,Arthur Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State,/players/b/beckear01.html
299,Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne,/players/b/beckemo01.html
300,Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford,/players/b/bedelbo01.html
301,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",Memphis,/players/b/bedfowi01.html
302,Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University,/players/b/beendha01.html
303,Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",Minnesota,/players/b/behagro01.html
304,Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley,/players/b/behnkel01.html
305,Marco Belinelli,2008,2020,G-F,6-5,220,"March 25, 1986",,/players/b/belinma01.html
306,Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State,/players/b/bellch01.html
307,Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University,/players/b/bellde01.html
308,Jordan Bell,2018,2022,F,6-8,216,"January 7, 1995",Oregon,/players/b/belljo01.html
309,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University",/players/b/bellra01.html
310,Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College,/players/b/belltr01.html
311,Whitey Bell,1960,1961,G,6-0,180,"September 13, 1932",NC State,/players/b/bellwh01.html
312,Walt Bellamy,1962,1975,C,6-11,225,"July 24, 1939",Indiana,/players/b/bellawa01.html
313,DeAndre' Bembry,2017,2022,F,6-5,210,"July 4, 1994",Saint Joseph's,/players/b/bembrde01.html
314,Irv Bemoras,1954,1957,F-G,6-3,185,"November 18, 1930",Illinois,/players/b/bemorir01.html
315,Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University,/players/b/benbole01.html
316,Dragan Bender,2017,2020,F,7-0,225,"November 17, 1997",,/players/b/bendedr01.html
317,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",,/players/b/bendejo01.html
318,Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991","Georgetown, Towson University",/players/b/benimje01.html
319,Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton,/players/b/benjabe01.html
320,Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State,/players/b/benjaco01.html
321,Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993",UNLV,/players/b/bennean01.html
322,Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",Notre Dame,/players/b/benneel01.html
323,Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State,/players/b/bennema01.html
324,Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",Pitt,/players/b/benneme01.html
325,Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State,/players/b/bennesp01.html
326,Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",Green Bay,/players/b/benneto01.html
327,Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",Kentucky,/players/b/bennewi01.html
328,David Benoit,1992,2001,F,6-8,220,"May 9, 1968",Alabama,/players/b/benoida01.html
329,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland,/players/b/bensoke02.html
330,Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana,/players/b/bensoke01.html
331,Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence,/players/b/bentibe01.html
332,Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette,/players/b/bercege01.html
333,Gary Bergen,1957,1957,C,6-8,210,"July 16, 1932",Utah,/players/b/bergega01.html
334,Larry Bergh,1970,1970,F,6-8,210,"April 2, 1945",Weber State,/players/b/berghla01.html
335,Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964","Oregon State, San Jose State",/players/b/berryri01.html
336,Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's,/players/b/berrywa01.html
337,Dairis Bertāns,2019,2019,G,6-4,200,"September 9, 1989",,/players/b/bertada02.html
338,Dāvis Bertāns,2017,2022,F,6-10,225,"November 12, 1992",,/players/b/bertada01.html
339,Del Beshore,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania,/players/b/beshode01.html
340,Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Tech,/players/b/besttr01.html
341,Patrick Beverley,2013,2023,G,6-1,180,"July 12, 1988",Arkansas,/players/b/beverpa01.html
342,Saddiq Bey,2021,2023,F,6-7,215,"April 9, 1999",Villanova,/players/b/beysa01.html
343,Tyler Bey,2021,2021,F,6-7,215,"February 10, 1998",Colorado,/players/b/beyty01.html
344,Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State,/players/b/bhullsi01.html
345,Wesley Bialosuknia,1968,1968,G,6-2,185,"June 8, 1945",UConn,/players/b/bialowe01.html
346,Al Bianchi,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green,/players/b/biancal01.html
347,Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Long Island University,/players/b/biasaha01.html
348,Henry Bibby,1973,1981,G,6-1,185,"November 24, 1949",UCLA,/players/b/bibbyhe01.html
349,Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",Arizona,/players/b/bibbymi01.html
350,Ed Biedenbach,1969,1969,G,6-1,175,"August 12, 1945",NC State,/players/b/biedeed01.html
351,Andris Biedriņš,2005,2014,C,6-11,240,"April 2, 1986",,/players/b/biedran01.html
352,Don Bielke,1956,1956,C,6-7,240,"May 10, 1932",Valparaiso,/players/b/bielkdo01.html
353,Bob Bigelow,1976,1979,F-G,6-7,215,"December 26, 1953",Penn,/players/b/bigelbo01.html
354,Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne,/players/b/billili01.html
355,Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",Colorado,/players/b/billuch01.html
356,Dave Bing,1967,1978,G,6-3,180,"November 24, 1943",Syracuse,/players/b/bingda01.html
357,Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina A&T,/players/b/biniojo01.html
358,Khem Birch,2018,2023,C-F,6-9,233,"September 28, 1992","Pitt, UNLV",/players/b/birchkh01.html
359,Jabari Bird,2018,2018,G,6-6,198,"July 3, 1994",California,/players/b/birdja01.html
360,Jerry Bird,1959,1959,F,6-6,210,"February 2, 1935",Kentucky,/players/b/birdje01.html
361,Larry Bird,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University,/players/b/birdla01.html
362,Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",Houston,/players/b/birdsot01.html
363,Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State,/players/b/bishoga01.html
364,Goga Bitadze,2020,2023,C,6-11,250,"July 20, 1999",,/players/b/bitadgo01.html
365,Bismack Biyombo,2012,2023,C-F,6-8,255,"August 28, 1992",,/players/b/biyombi01.html
366,Nemanja Bjelica,2016,2022,F,6-10,234,"May 9, 1988",,/players/b/bjeline01.html
367,Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana,/players/b/blabuw01.html
368,Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",Kansas,/players/b/blackch01.html
369,Norman Black,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's,/players/b/blackno01.html
370,Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991","Memphis, Kansas",/players/b/blackta01.html
371,Tom Black,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State,/players/b/blackto01.html
372,Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State,/players/b/blackro01.html
373,Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University,/players/b/blackal01.html
374,Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",Wisconsin,/players/b/blackco01.html
375,James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College,/players/b/blackja01.html
376,Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple,/players/b/blackna01.html
377,DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",Pitt,/players/b/blairde01.html
378,Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",Maryland,/players/b/blakest01.html
379,Antonio Blakeney,2018,2019,G,6-4,192,"October 4, 1996",LSU,/players/b/blakean01.html
380,Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State,/players/b/blalowi01.html
381,George Blaney,1962,1962,G,6-1,175,"November 12, 1939",Holy Cross,/players/b/blanege01.html
382,Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966","Virginia, Texas",/players/b/blankla01.html
383,Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",LSU,/players/b/blantri01.html
384,Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",,/players/b/blatcan01.html
385,Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967","Midland College, Oklahoma",/players/b/blaylmo01.html
386,Eric Bledsoe,2011,2022,G,6-1,214,"December 9, 1989",Kentucky,/players/b/bledser01.html
387,Keljin Blevins,2021,2022,F,6-4,200,"November 24, 1995","Southern Miss, Montana State",/players/b/blevike01.html
388,Leon Blevins,1951,1951,G,6-2,160,"June 25, 1926",Arizona,/players/b/blevile01.html
389,John Block,1967,1976,F-C,6-9,207,"April 16, 1944",USC,/players/b/blockjo01.html
390,Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple,/players/b/bloommi01.html
391,Jaron Blossomgame,2019,2019,F,6-8,220,"September 16, 1993",Clemson,/players/b/blossja01.html
392,Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",Cincinnati,/players/b/blounco01.html
393,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",Pitt,/players/b/blounma01.html
394,Vander Blue,2014,2018,G,6-4,200,"July 17, 1992",Marquette,/players/b/blueva01.html
395,Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State,/players/b/blumera01.html
396,Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple,/players/b/bobbne01.html
397,Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",Cincinnati,/players/b/bobbito01.html
398,Bucky Bockhorn,1959,1965,G,6-4,200,"July 8, 1933",Dayton,/players/b/bockhbu01.html
399,Buddy Boeheim,2023,2023,G,6-6,205,"November 11, 1999",Syracuse,/players/b/boehebu01.html
400,Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",Tennessee,/players/b/boerwto01.html
401,Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",Kentucky,/players/b/boganke01.html
402,Bogdan Bogdanović,2018,2022,G,6-6,220,"August 18, 1992",,/players/b/bogdabo01.html
403,Bojan Bogdanović,2015,2023,G-F,6-7,226,"April 18, 1989",,/players/b/bogdabo02.html
404,Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest,/players/b/boguemu01.html
405,Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",Utah,/players/b/bogutan01.html
406,Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973","Arizona, Tennessee, Auburn University at Montgomery",/players/b/bohanet01.html
407,Bol Bol,2020,2023,F-C,7-2,220,"November 16, 1999",Oregon,/players/b/bolbo01.html
408,Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport,/players/b/bolma01.html
409,Jonah Bolden,2019,2020,F,6-8,220,"January 2, 1996",UCLA,/players/b/boldejo01.html
410,Marques Bolden,2020,2021,C,6-10,249,"April 17, 1998",Duke,/players/b/boldema01.html
411,Bill Bolger,1954,1954,F,6-5,205,"August 21, 1931",Georgetown,/players/b/bolgebi01.html
412,Leandro Bolmaro,2022,2023,F,6-6,200,"September 11, 2000",,/players/b/bolmale01.html
413,Joel Bolomboy,2017,2018,F,6-9,235,"January 28, 1994",Weber State,/players/b/bolomjo01.html
414,Doug Bolstorff,1958,1958,G,6-4,195,"October 29, 1931",Minnesota,/players/b/bolstdo01.html
415,George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",Illinois,/players/b/bonsage01.html
416,Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",Louisville,/players/b/bondph01.html
417,Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",Minnesota,/players/b/bondwa01.html
418,Jordan Bone,2020,2021,G,6-2,180,"November 5, 1997",Tennessee,/players/b/bonejo01.html
419,Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970",UNLV,/players/b/boneyde01.html
420,Isaac Bonga,2019,2022,G,6-8,180,"November 8, 1999",,/players/b/bongais01.html
421,Ron Bonham,1965,1968,F,6-5,192,"May 31, 1942",Cincinnati,/players/b/bonharo01.html
422,Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis,/players/b/bonnean01.html
423,Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",Florida,/players/b/bonnema01.html
424,Butch Booker,1970,1970,C,6-10,230,"July 20, 1945",Cheyney (PA),/players/b/bookebu01.html
425,Devin Booker,2016,2023,G,6-5,206,"October 30, 1996",Kentucky,/players/b/bookede01.html
426,Melvin Booker,1996,1997,G,6-2,185,"August 20, 1972",Missouri,/players/b/bookeme01.html
427,Trevor Booker,2011,2018,F,6-8,228,"November 25, 1987",Clemson,/players/b/booketr01.html
428,Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",UConn,/players/b/boonejo01.html
429,Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University,/players/b/boonero01.html
430,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Penn State,/players/b/boothca01.html
431,Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",Maryland,/players/b/boothke01.html
432,Bob Boozer,1961,1971,F,6-8,215,"April 26, 1937",Kansas State,/players/b/boozebo01.html
433,Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke,/players/b/boozeca01.html
434,Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford,/players/b/borchcu01.html
435,Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College,/players/b/bornhja01.html
436,Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",,/players/b/borrela01.html
437,Ike Borsavage,1951,1951,C-F,6-8,220,"July 25, 1924",Temple,/players/b/borsaik01.html
438,Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927",Denver,/players/b/borylvi01.html
439,Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Tech,/players/b/boshch01.html
440,Jim Bostic,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State,/players/b/bostiji01.html
441,Brandon Boston Jr.,2022,2023,G-F,6-7,185,"November 28, 2001",Kentucky,/players/b/bostobr01.html
442,Lawrence Boston,1980,1980,F,6-8,225,"May 18, 1956","Vincennes University, Maryland",/players/b/bostola01.html
443,Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953","South Carolina State, South Carolina",/players/b/bosweto01.html
444,Chris Boucher,2018,2023,F,6-9,200,"January 11, 1993",Oregon,/players/b/bouchch01.html
445,James Bouknight,2022,2023,G,6-5,190,"September 18, 2000",UConn,/players/b/bouknja01.html
446,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown,/players/b/boumtru01.html
447,Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan,/players/b/bovendo01.html
448,Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion,/players/b/bowdlca01.html
449,Brian Bowen,2020,2021,F,6-6,190,"October 2, 1998",,/players/b/bowenbr02.html
450,Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971",Cal State Fullerton,/players/b/bowenbr01.html
451,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",Iowa,/players/b/bowenry01.html
452,Tommie Bowens,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University,/players/b/bowento01.html
453,Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",Oklahoma,/players/b/bowiean01.html
454,Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",Kentucky,/players/b/bowiesa01.html
455,Orbie Bowling,1968,1968,C,6-10,215,"March 21, 1939",Tennessee,/players/b/bowlior01.html
456,Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973","Providence, Penn",/players/b/bowmair01.html
457,Ky Bowman,2020,2020,G,6-1,187,"June 16, 1997",Boston College,/players/b/bowmaky01.html
458,Nate Bowman,1967,1972,C,6-10,230,"March 19, 1943",Wichita State,/players/b/bowmana01.html
459,Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",Colorado,/players/b/boycedo01.html
460,Dennis Boyd,1979,1979,G,6-1,175,"May 21, 1954",Detroit Mercy,/players/b/boydde01.html
461,Freddie Boyd,1973,1978,G,6-2,180,"June 13, 1950",Oregon State,/players/b/boydfr01.html
462,Ken Boyd,1975,1975,F,6-5,195,"March 25, 1952",Boston University,/players/b/boydke01.html
463,Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan,/players/b/boykiea01.html
464,Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's,/players/b/boykoha01.html
465,Winford Boynes,1979,1981,G-F,6-6,185,"May 17, 1957",San Francisco,/players/b/boynewi01.html
466,Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983",UCLA,/players/b/bozemce01.html
467,Steve Bracey,1973,1975,G,6-1,175,"August 1, 1950",Tulsa,/players/b/bracest01.html
468,Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State,/players/b/brackcr01.html
469,Gary Bradds,1965,1971,F,6-8,210,"July 26, 1942",Ohio State,/players/b/braddga01.html
470,Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova,/players/b/bradlal02.html
471,Alonzo Bradley,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern,/players/b/bradlal01.html
472,Avery Bradley,2011,2022,G,6-3,180,"November 26, 1990",Texas,/players/b/bradlav01.html
473,Bill Bradley,1968,1968,G,5-11,165,"June 16, 1941",,/players/b/bradlbi02.html
474,Bill Bradley,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton,/players/b/bradlbi01.html
475,Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",Wyoming,/players/b/bradlch01.html
476,Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",UNC,/players/b/bradldu01.html
477,Jim Bradley,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois,/players/b/bradlji01.html
478,Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State,/players/b/bradljo01.html
479,Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979","Kentucky, Villanova",/players/b/bradlmi01.html
480,Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",BYU,/players/b/bradlsh01.html
481,Tony Bradley,2018,2023,F-C,6-10,248,"January 8, 1998",UNC,/players/b/bradlto01.html
